bus_voltage,current_draw,power_consumption,mcu_core_temp,heartbeat_signal,uart_packets_received,crc_error_count,uart_timeout,fault
5.01806543517242,0.4176321419115289,2.095705415943266,46.110514011215535,1,97,1,0,0
5.049246193973195,0.5302177249059443,2.677199829458466,38.395749192443944,1,95,0,0,0
5.02106012163658,0.45933666833334447,2.3063570277739642,33.472548444263545,1,96,0,0,0
5.048602858345241,0.5351592068992896,2.701806301621526,46.655803719599064,1,99,1,0,0
5.041504889169264,0.5172696574528222,2.6078175070673133,21.528936089578227,1,95,0,0,0
4.993596765992021,0.5993633328702903,2.992978800675281,22.50257927712284,1,98,1,0,0
4.986595921451282,0.424694251029587,2.1177786200479454,36.46441454449774,1,99,1,0,0
4.961672293283172,0.4091426850610658,2.030031924466973,48.633092949911756,0,99,1,0,1
5.021784765949248,0.5235420753998874,2.6291156185766074,33.108979219063386,1,97,1,0,0
4.972265526510329,0.5723818969435963,2.8460347741712315,34.967752589771735,1,98,0,0,0
4.9901997781759615,0.5766821226123794,2.8777590003383384,48.326406439475015,1,99,0,0,0
5.000944134507463,0.5345228030925866,2.673118676886358,31.631142717482078,1,95,1,0,0
4.999499828417021,0.5218773065371216,2.6091255044870767,39.978783046876316,1,97,0,0,0
5.0361343685013225,0.4612159547804893,2.322745521171174,27.624769168929262,1,97,0,0,0
5.003632296929318,0.5670302159132193,2.8372107016781887,24.043742548316587,1,95,1,0,0
5.019067373273249,0.5013317877553426,2.5162180191075896,39.571059133904015,1,96,1,0,0
4.992921297199192,0.43942231035897367,2.194001011855793,21.092362899781467,1,96,0,0,0
5.044424144093975,0.5001845971927171,2.523143258582862,49.26603187002719,1,98,0,0,0
4.977664955690631,0.5838263122862349,2.9060917748772863,45.63274958207542,1,99,0,0,0
5.014468476582087,0.5111319208843244,2.5630549046492934,44.91317471104478,1,95,1,0,0
5.046629702219373,0.5507775203936827,2.779570193733495,40.12041912762602,1,99,0,0,0
5.004172156705644,0.49487441830186585,2.476436785132099,28.50250044259536,1,96,1,0,0
4.957473904215716,0.4835737544853214,2.3973042686245982,40.25924253080409,0,96,1,0,1
4.9729140147924635,0.5792175359216661,2.880399001998411,48.64170844806633,1,97,1,0,0
4.972182303575319,0.5007887581606404,2.490013001155796,46.71197779001342,1,97,0,0,0
4.953220543216373,0.4808125394281638,2.3815705477316134,42.570557755418264,1,95,1,0,0
4.97222532713286,0.5106288039985105,2.538961472004955,35.53302586227682,1,97,1,0,0
4.9518892100242855,0.4677298839084917,2.316146565332372,31.013583237386015,1,99,0,0,0
5.0011070758541925,0.499700465586437,2.4990555342519643,47.43590661870242,1,96,1,0,0
5.049126579165122,0.43731716372789964,2.2080697149036435,37.99453167969074,1,98,0,0,0
4.935518397180578,0.9712711150510969,4.793726456984783,21.352896880881055,1,99,1,0,2
4.962832235311274,0.522721579791249,2.594179506280845,24.166160283608342,1,96,1,0,0
5.00700478703413,0.565904892772634,2.833488507118614,30.918269519258935,1,99,0,0,0
4.962133740195492,0.5631822071709005,2.7945854320804933,45.76988659349274,1,99,1,0,0
5.044133251712424,0.5481472331530048,2.7649276855812346,25.37172963156062,1,97,1,0,0
4.993969370305662,0.5688455657008872,2.8407973315444273,23.204110140429655,1,97,0,0,0
4.989802088456748,0.5065816067430754,2.5277419593003727,42.16621256417285,1,95,1,0,0
4.958656537678941,0.46897105666409,2.325466396109591,26.880362370447926,1,99,1,0,0
4.995953300569795,0.5223297200637076,2.609534888937977,31.251562355791442,1,95,0,0,0
4.984885084993115,0.41627807888232826,2.0750983866301054,36.78537659953489,1,97,0,0,0
5.023952944076223,0.5116848161022176,2.570680438295837,38.66583587872158,1,97,0,0,0
4.9579258097126235,0.4893426598237534,2.4261246029336117,22.96338401286806,1,95,0,0,0
4.954164255414233,0.4010082636031188,1.9866608056682997,23.021571796532985,1,0,1,1,3
4.890535352029043,0.7408295398936839,3.6230530546774715,23.70247323176754,1,99,1,0,2
4.971660838187526,0.46465325678639385,2.3100984001012064,44.3679421814941,1,96,0,0,0
4.9685022934915,0.47496887940291915,2.3598839666504916,48.605432771795314,1,98,1,0,0
5.010553286216426,0.5359712229195909,2.6855123723171928,44.25758730667137,1,0,1,1,3
5.013066333304772,0.5804630681129725,2.909899864483937,32.18737984345441,1,95,0,0,0
4.987408121268029,0.5973569198853907,2.979262753532053,38.37704408530389,1,98,18,0,4
4.956774941095371,0.5364948845418468,2.6592843997228806,38.950239317914765,1,95,0,0,0
4.975408447477475,0.5165090505847078,2.5698434934777254,38.097080151862016,1,96,0,0,0
4.9600694533740874,0.4089648602894123,2.0284941110249153,26.8260261390403,1,97,0,0,0
4.956254727060153,0.4498836452757273,2.2297379435248765,43.917672855373326,0,95,1,0,1
5.044759577869977,0.5003621213923387,2.5242066042973406,26.864194814636733,1,98,0,0,0
